"Record ID","Date and Time (SLT)","Temperature (C)","Humidity (%)","Air Quality (Gas)","Temperature Status","Humidity Status","Air Quality Status",Source,"Motor ON (Sprinkler)","Motor Run Time (sec)","Fan ON (Cooling)","Fan Run Time (sec)","Trigger Reason","Device ID",Notes
1,"2026-03-23 14:12:08",22.50,53.30,22,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
2,"2026-03-23 14:12:25",22.50,54.20,28,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
3,"2026-03-23 14:12:41",22.60,53.90,17,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
4,"2026-03-23 14:12:58",22.70,53.50,27,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
5,"2026-03-23 14:13:14",22.70,53.10,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
6,"2026-03-23 14:13:31",22.80,52.70,21,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
7,"2026-03-23 14:13:48",22.80,52.50,17,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
8,"2026-03-23 14:14:04",22.90,52.80,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
9,"2026-03-23 14:14:21",22.90,53.50,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
10,"2026-03-23 14:14:38",23.00,53.40,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
11,"2026-03-23 14:14:54",23.00,53.00,19,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
12,"2026-03-23 14:15:11",23.00,52.80,23,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
13,"2026-03-23 14:15:27",23.10,53.50,13,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
14,"2026-03-23 14:15:44",23.20,53.70,19,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
15,"2026-03-23 14:16:01",23.20,53.50,18,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
16,"2026-03-23 14:16:17",23.30,53.20,19,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
17,"2026-03-23 14:16:34",23.30,52.70,18,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
18,"2026-03-23 14:16:51",23.30,52.30,15,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
19,"2026-03-23 14:17:08",23.40,52.00,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
20,"2026-03-23 14:17:24",23.40,51.90,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
21,"2026-03-23 14:17:41",23.40,51.70,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
22,"2026-03-23 14:17:58",23.50,51.80,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
23,"2026-03-23 14:18:14",23.50,51.70,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
24,"2026-03-23 14:18:31",23.60,51.70,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
25,"2026-03-23 14:18:47",23.60,51.60,15,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
26,"2026-03-23 14:19:04",23.60,51.70,12,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
27,"2026-03-23 14:19:21",23.60,51.40,15,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
28,"2026-03-23 14:19:37",23.70,51.50,11,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
29,"2026-03-23 14:19:54",23.70,51.70,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
30,"2026-03-23 14:20:10",23.80,51.70,26,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
31,"2026-03-23 14:20:27",23.80,51.90,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
32,"2026-03-23 14:20:44",23.80,52.20,19,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
33,"2026-03-23 14:21:01",23.80,51.90,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
34,"2026-03-23 14:21:24",23.90,52.00,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
35,"2026-03-23 14:21:33",23.90,52.20,16,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
36,"2026-03-23 14:21:50",23.90,52.20,19,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
37,"2026-03-23 14:22:05",24.00,52.10,26,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
38,"2026-03-23 14:22:22",24.00,52.50,18,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
39,"2026-03-23 14:22:37",24.00,53.10,21,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
40,"2026-03-23 14:22:54",24.00,53.50,22,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
41,"2026-03-23 14:23:11",24.10,54.20,17,NORMAL,NORMAL,NORMAL,Automatic,OFF,0,OFF,0,none,ESP32-ZONE-A,
